PEJVOにあってvortaro.tsvにない語根: 2730個

語根リスト(例単語付き):
a-vort	# PEJVO例: a-vort/o
klon	# PEJVO例: klon/ad/o
klos^	# PEJVO例: klos^/et/o
kluc^	# PEJVO例: kluc^/ad/o
knedlik	# PEJVO例: knedlik/o
knokau^t	# PEJVO例: knokau^t/i
ko	# PEJVO例: ko
koc^enil	# PEJVO例: koc^enil/o
koc^er	# PEJVO例: koc^er/o
koc^inc^in	# PEJVO例: koc^inc^in/o
kognat	# PEJVO例: kognat/o
kojlit	# PEJVO例: kojlit/o
kokakola	# PEJVO例: kokakola/o
koklus^	# PEJVO例: koklus^/o
kokotraŭst	# PEJVO例: kokotraŭst/o
koksalgi	# PEJVO例: koksalgi/o
kolazion	# PEJVO例: kolazion/i
kolc^ik	# PEJVO例: kolc^ik/o
kolc^ikin	# PEJVO例: kolc^ikin/o
koledok	# PEJVO例: koledok/o
kolh^oz	# PEJVO例: kolh^oz/o
kolimat	# PEJVO例: kolimat/i
kolokasi	# PEJVO例: kolokasi/o
kolokint	# PEJVO例: kolokint/o
kolombed	# PEJVO例: kolombed/oj
kolombi	# PEJVO例: kolombi/an/o
kolonj	# PEJVO例: kolonj/a akv/o
kolorometr	# PEJVO例: kolorometr/o
kolubred	# PEJVO例: kolubred/oj
kolĥoz	# PEJVO例: kolĥoz/an/o
koma	# PEJVO例: koma/o
komatul	# PEJVO例: komatul/o
komiks	# PEJVO例: komiks/o
komisur	# PEJVO例: komisur/o
komparativ	# PEJVO例: komparativ/o
kompensator	# PEJVO例: kompensator/o
kompiler	# PEJVO例: kompiler/i
kompos^t	# PEJVO例: kompos^t/i
kompozitac	# PEJVO例: kompozitac/oj
kompromit	# PEJVO例: kompromit/a
komutator	# PEJVO例: komutator/o
konced	# PEJVO例: konced/i
kondensator	# PEJVO例: kondensator/o
kondensor	# PEJVO例: kondensor/o
kondic^	# PEJVO例: kondic^/a
konfuce	# PEJVO例: konfuce/an/ism/o
konjunktivit	# PEJVO例: konjunktivit/o
kontag^	# PEJVO例: kontag^/a
kontau^	# PEJVO例: kontau^/a vent/o
kontratenor	# PEJVO例: kontratenor/o
kontrau^	# PEJVO例: kontrau^
kontrau^ supoz	# PEJVO例: kontrau^ supoz/o
kontrau^-	# PEJVO例: kontrau^-
kontrau^-manifestaci	# PEJVO例: kontrau^-manifestaci/o
kontribuci	# PEJVO例: kontribuci/o
konverg^	# PEJVO例: konverg^/a
konvers	# PEJVO例: konvers/i
konzern	# PEJVO例: konzern/o
konĉert	# PEJVO例: konĉert/o
korbikul	# PEJVO例: korbikul/o
korektur	# PEJVO例: korektur/o
korint	# PEJVO例: korint/ik/a
korintik	# PEJVO例: korintik/a kapitel/o
kornval	# PEJVO例: kornval/a
korsaj^	# PEJVO例: korsaj^/o
korsik	# PEJVO例: korsik/an/o
kos^	# PEJVO例: kos^/o
kos^er	# PEJVO例: kos^er/a
kosmolog	# PEJVO例: kosmolog/o
kosmologi	# PEJVO例: kosmologi/o
kosmonau^t	# PEJVO例: kosmonau^t/o
kosmonaŭt	# PEJVO例: kosmonaŭt/ik/o
kosmos	# PEJVO例: kosmos/o
kovard	# PEJVO例: kovard/a
koĉ	# PEJVO例: koĉ/o
koŝmar	# PEJVO例: koŝmar/o
krac^	# PEJVO例: krac^/ad/o
krampf	# PEJVO例: krampf/o
kraniometri	# PEJVO例: kraniometri/o
kras^	# PEJVO例: kras^/i
krau^l	# PEJVO例: krau^l/o
kresc^end	# PEJVO例: kresc^end/o
kretace	# PEJVO例: kretace/o
kric^	# PEJVO例: kric^/i
kriminal	# PEJVO例: kriminal/a
kriptomeri	# PEJVO例: kriptomeri/o
kriptoteni	# PEJVO例: kriptoteni/o
krist	# PEJVO例: krist/an/a
kristalograf	# PEJVO例: kristalograf/o
krit	# PEJVO例: krit/a
kroc^	# PEJVO例: kroc^/i
kroc^et	# PEJVO例: kroc^et/aj^/o
krom-	# PEJVO例: krom-
kromanjon	# PEJVO例: kromanjon/ul/o
kromi	# PEJVO例: kromi/o
kronograf	# PEJVO例: kronograf/i
kroĉ	# PEJVO例: kroĉ/ad/o
kruc^	# PEJVO例: kruc^/form/a korol/o
kuled	# PEJVO例: kuled/oj
kulmin-konferenc	# PEJVO例: kulmin-konferenc/o
kumulonimbus	# PEJVO例: kumulonimbus/o
kun-	# PEJVO例: kun-
kurag^	# PEJVO例: kurag^/a
kuri	# PEJVO例: kuri/o
kursor	# PEJVO例: kursor/o
kurtag^	# PEJVO例: kurtag^/o
kurtin	# PEJVO例: kurtin/o
kus^	# PEJVO例: kus^/a
kvalif	# PEJVO例: kvalif/i
kvar membr	# PEJVO例: kvar membr/oj
kvar mil	# PEJVO例: kvar mil
kvar sezon	# PEJVO例: kvar sezon/oj
kvar ver	# PEJVO例: kvar ver/oj
kvartet	# PEJVO例: kvartet/o
kvaternar	# PEJVO例: kvaternar/a
kvazau^	# PEJVO例: kvazau^
kvazau^-	# PEJVO例: kvazau^-
kvin mil	# PEJVO例: kvin mil
kvino	# PEJVO例: kvino/o
kvintet	# PEJVO例: kvintet/o
l'	# PEJVO例: l'
labiac	# PEJVO例: labiac/oj
labil	# PEJVO例: labil/a
labrador	# PEJVO例: labrador/a hund/o
lac^	# PEJVO例: lac^/i
ladin	# PEJVO例: ladin/a
lagenari	# PEJVO例: lagenari/o
lagerstrom	# PEJVO例: lagerstrom/o
lagri	# PEJVO例: lagri/o
lamark	# PEJVO例: lamark/ism/o
lanc^	# PEJVO例: lanc^/i
lanĉ	# PEJVO例: lanĉ/ad/o
laos	# PEJVO例: laos/a lingv/o
larg^	# PEJVO例: larg^/a
laringit	# PEJVO例: laringit/o
larĝ	# PEJVO例: larĝ/aĵ/o
lau^	# PEJVO例: lau^
lau^-	# PEJVO例: lau^-
lau^b	# PEJVO例: lau^b/o
lau^d	# PEJVO例: lau^d/i
lau^dan	# PEJVO例: lau^dan/o
lau^r	# PEJVO例: lau^r/ac/oj
lau^reat	# PEJVO例: lau^reat/o
lau^renti	# PEJVO例: lau^renti/o
lau^t	# PEJVO例: lau^t/a
lavab	# PEJVO例: lavab/o
laŭrenci	# PEJVO例: laŭrenci/o
laŭs	# PEJVO例: laŭs/o
lebanon	# PEJVO例: lebanon/a cedr/o
leg^	# PEJVO例: leg^/a
leg^er	# PEJVO例: leg^er/a
legac	# PEJVO例: legac/o
legitimaci	# PEJVO例: legitimaci/o
legumenac	# PEJVO例: legumenac/oj
leguminoz	# PEJVO例: leguminoz/oj
leksikologi	# PEJVO例: leksikologi/o
lepidodendr	# PEJVO例: lepidodendr/o
lepton	# PEJVO例: lepton/o
leu^kemi	# PEJVO例: leu^kemi/o
leu^kocit	# PEJVO例: leu^kocit/o
leu^komain	# PEJVO例: leu^komain/o
leu^kore	# PEJVO例: leu^kore/o
leu^s	# PEJVO例: leu^s/o
leu^tenant	# PEJVO例: leu^tenant/o
leŭcisk	# PEJVO例: leŭcisk/o
leŭg	# PEJVO例: leŭg/o
lias	# PEJVO例: lias/o
liban	# PEJVO例: liban/an/o
liberi	# PEJVO例: liberi/an/o
libi	# PEJVO例: libi/an/o
lid	# PEJVO例: lid/o
ligur	# PEJVO例: ligur/o
likopodiac	# PEJVO例: likopodiac/oj
likorid	# PEJVO例: likorid/o
liliput	# PEJVO例: liliput/a
limes	# PEJVO例: limes/o
limfangit	# PEJVO例: limfangit/o
linc^	# PEJVO例: linc^/ad/o
linear	# PEJVO例: linear/a ekvaci/o
linĉ	# PEJVO例: linĉ/o
liter-cifer	# PEJVO例: liter-cifer/a
literator	# PEJVO例: literator/o
livon	# PEJVO例: livon/o
liĉi	# PEJVO例: liĉi/arb/o
lobi	# PEJVO例: lobi/ad/o
lodikl	# PEJVO例: lodikl/o
loes	# PEJVO例: loes/o
log^	# PEJVO例: log^/ad/o
log^i	# PEJVO例: log^i/o
log^istik	# PEJVO例: log^istik/o
lokau^t	# PEJVO例: lokau^t/o
longobard	# PEJVO例: longobard/o
lotos	# PEJVO例: lotos/o
lozang^	# PEJVO例: lozang^/o
lozanĝ	# PEJVO例: lozanĝ/e
loĝ	# PEJVO例: loĝ/a
luciol	# PEJVO例: luciol/o
lug^	# PEJVO例: lug^/i
luksaci	# PEJVO例: luksaci/o
lumbalgi	# PEJVO例: lumbalgi/o
lumen	# PEJVO例: lumen/o
lunc^	# PEJVO例: lunc^/ej/o
lupen	# PEJVO例: lupen/o
luter	# PEJVO例: luter/an/ism/o
mac^	# PEJVO例: mac^/ad/o
macedon	# PEJVO例: macedon/o
macutak	# PEJVO例: macutak/o
madagaskar	# PEJVO例: madagaskar/a
mafi	# PEJVO例: mafi/o
mag^ang	# PEJVO例: mag^ang/o
magnetism	# PEJVO例: magnetism/o
magnitud	# PEJVO例: magnitud/o
mah^	# PEJVO例: mah^/nombr/o
mah^inaci	# PEJVO例: mah^inaci/o
mahajan	# PEJVO例: mahajan/o
maharaĝ	# PEJVO例: maharaĝ/o
mahomet	# PEJVO例: mahomet/an/o
mahoni	# PEJVO例: mahoni/o
maj^or	# PEJVO例: maj^or/a
makedoni	# PEJVO例: makedoni/an/o
makiavel	# PEJVO例: makiavel/a
makoli	# PEJVO例: makoli/o
mal-	# PEJVO例: mal-
mal-vort	# PEJVO例: mal-vort/o
malajzi	# PEJVO例: malajzi/an/o
malavi	# PEJVO例: malavi/an/o
maldiv	# PEJVO例: maldiv/an/o
malgrau^	# PEJVO例: malgrau^
malgrau^ ke	# PEJVO例: malgrau^ ke
malgrau^ tio	# PEJVO例: malgrau^ tio
mali	# PEJVO例: mali/an/o
malign	# PEJVO例: malign/a
maltaz	# PEJVO例: maltaz/o
maltoz	# PEJVO例: maltoz/o
maltus	# PEJVO例: maltus/an/a
maltusianism	# PEJVO例: maltusianism/o
mamografi	# PEJVO例: mamografi/o
mamon	# PEJVO例: mamon/ism/o
manc^ur	# PEJVO例: manc^ur/o
maneg^	# PEJVO例: maneg^/ej/o
mang^	# PEJVO例: mang^/ad/o
mang^u	# PEJVO例: mang^u/o
manipulator	# PEJVO例: manipulator/o
manj^u	# PEJVO例: manj^u/o
manĝ	# PEJVO例: manĝ/il/o
marc^	# PEJVO例: marc^/a irid/o
marc^and	# PEJVO例: marc^and/aj^/o
marg^en	# PEJVO例: marg^en/a
mari	# PEJVO例: mari/skarab/o
marih^uan	# PEJVO例: marih^uan/o
markist	# PEJVO例: markist/o
mars^	# PEJVO例: mars^/ad/i
mars^al	# PEJVO例: mars^al/o
marsupial	# PEJVO例: marsupial/oj
marĉ	# PEJVO例: marĉ/a
marĉand	# PEJVO例: marĉand/ad/o
mas^	# PEJVO例: mas^/ar/o
mas^in	# PEJVO例: mas^in/a
masag^	# PEJVO例: masag^/i
maser	# PEJVO例: maser/o
masoh^	# PEJVO例: masoh^/ism/o
mastrih^t	# PEJVO例: mastrih^t/a traktat/o
matc^	# PEJVO例: matc^/i
mau^r	# PEJVO例: mau^r/o
mau^rici	# PEJVO例: mau^rici/an/o
mau^ritani	# PEJVO例: mau^ritani/an/o
mau^zole	# PEJVO例: mau^zole/o
mav	# PEJVO例: mav/a
maĉ	# PEJVO例: maĉ/il/o
maĉet	# PEJVO例: maĉet/o
maĵor	# PEJVO例: maĵor/o
maŝin	# PEJVO例: maŝin/estr/o
maŭr	# PEJVO例: maŭr/a
mec^	# PEJVO例: mec^/aj^/o
mediterane	# PEJVO例: mediterane/aj land/oj
medolit	# PEJVO例: medolit/o
mega-	# PEJVO例: mega-
megalosau^r	# PEJVO例: megalosau^r/o
megavat	# PEJVO例: megavat/hor/o
meh^anik	# PEJVO例: meh^anik/o
meh^anism	# PEJVO例: meh^anism/o
meksik	# PEJVO例: meksik/an/o
meli	# PEJVO例: meli/o
melinit	# PEJVO例: melinit/o
mem-	# PEJVO例: mem-
menag^eri	# PEJVO例: menag^eri/o
mendel	# PEJVO例: mendel/ism/o
meningit	# PEJVO例: meningit/o
menopau^z	# PEJVO例: menopau^z/o
meretrik	# PEJVO例: meretrik/o
meringel	# PEJVO例: meringel/o
merkurokrom	# PEJVO例: merkurokrom/o
merluĉ	# PEJVO例: merluĉ/o
mesag^	# PEJVO例: mesag^/i
mesi	# PEJVO例: mesi/an/ism/o
metacentr	# PEJVO例: metacentr/o
metakarp	# PEJVO例: metakarp/o
metanol	# PEJVO例: metanol/o
metastabil	# PEJVO例: metastabil/a
metazo	# PEJVO例: metazo/oj
meteorism	# PEJVO例: meteorism/o
meteorolog	# PEJVO例: meteorolog/o
meteorologi	# PEJVO例: meteorologi/a bulten/o
metrologi	# PEJVO例: metrologi/o
metropol	# PEJVO例: metropol/o
mezalianc	# PEJVO例: mezalianc/o
mezozoik	# PEJVO例: mezozoik/o
miau^	# PEJVO例: miau^
migren	# PEJVO例: migren/o
mikro-	# PEJVO例: mikro-
mil paper	# PEJVO例: mil paper/gru/oj
mile	# PEJVO例: mile/o
mili-	# PEJVO例: mili-
milici	# PEJVO例: milici/o
miligram	# PEJVO例: miligram/o
milisivert	# PEJVO例: milisivert/o
militarism	# PEJVO例: militarism/o
militarist	# PEJVO例: militarist/o
mimik	# PEJVO例: mimik/i
mincikad	# PEJVO例: mincikad/o
minijup	# PEJVO例: minijup/o
miog	# PEJVO例: miog/o
mirag^	# PEJVO例: mirag^/o
miriametr	# PEJVO例: miriametr/o
mirmeleon	# PEJVO例: mirmeleon/o
mis-	# PEJVO例: mis-
misgurn	# PEJVO例: misgurn/o
miskant	# PEJVO例: miskant/o
miso	# PEJVO例: miso/o
mistif	# PEJVO例: mistif/i
mitolog	# PEJVO例: mitolog/o
mitomani	# PEJVO例: mitomani/o
mitridat	# PEJVO例: mitridat/ism/o
mjelit	# PEJVO例: mjelit/o
mnemoteknik	# PEJVO例: mnemoteknik/o
mo	# PEJVO例: mo
moc^i	# PEJVO例: moc^i/o
modjul	# PEJVO例: modjul/o
mogol	# PEJVO例: mogol/o
mokr	# PEJVO例: mokr/a
moks	# PEJVO例: moks/aj^/o
monah^	# PEJVO例: monah^/ej/o
monak	# PEJVO例: monak/ej/o
monarh^	# PEJVO例: monarh^/o
monarh^i	# PEJVO例: monarh^i/o
monaĥ	# PEJVO例: monaĥ/a
monokristal	# PEJVO例: monokristal/o
monokromat	# PEJVO例: monokromat/a
monokromator	# PEJVO例: monokromator/o
montenegr	# PEJVO例: montenegr/an/o
morgau^	# PEJVO例: morgau^
morh^el	# PEJVO例: morh^el/o
mos^t	# PEJVO例: mos^t/o
motocikl	# PEJVO例: motocikl/o
moŝt	# PEJVO例: moŝt/a
mu	# PEJVO例: mu
mug^	# PEJVO例: mug^/ad/o
mulc^	# PEJVO例: mulc^/i
multiplikend	# PEJVO例: multiplikend/o
munken	# PEJVO例: munken/ism/o
muon	# PEJVO例: muon/o
mus^	# PEJVO例: mus^/a amanit/o
musket	# PEJVO例: musket/ist/o
muĝ	# PEJVO例: muĝ/o
n-ro	# PEJVO例: n-ro
nacionalism	# PEJVO例: nacionalism/o
naftalin	# PEJVO例: naftalin/o
nag^	# PEJVO例: nag^/ad/o
namibi	# PEJVO例: namibi/an/o
nandin	# PEJVO例: nandin/a pom/et/o
nano-	# PEJVO例: nano-
nanosekund	# PEJVO例: nanosekund/o
narak	# PEJVO例: narak/o
narkotik	# PEJVO例: narkotik/o
narkoz	# PEJVO例: narkoz/o
naturalism	# PEJVO例: naturalism/o
naturalist	# PEJVO例: naturalist/o
naturaliz	# PEJVO例: naturaliz/i
nau^	# PEJVO例: nau^
nau^ mil	# PEJVO例: nau^ mil
nau^n	# PEJVO例: nau^n/o
nau^til	# PEJVO例: nau^til/o
nau^z	# PEJVO例: nau^z/a
navet	# PEJVO例: navet/o
navigaci	# PEJVO例: navigaci/i
naĝ	# PEJVO例: naĝ/a
ndlr	# PEJVO例: ndlr
ne jam	# PEJVO例: ne jam
ne mal	# PEJVO例: ne mal/pli
ne pli ol	# PEJVO例: ne pli ol
ne plu	# PEJVO例: ne plu
ne tut	# PEJVO例: ne tut/e
ne unu	# PEJVO例: ne unu
ne-esperant	# PEJVO例: ne-esperant/lingv/a
neandertal	# PEJVO例: neandertal/ul/o
nederland	# PEJVO例: nederland/a
neg^	# PEJVO例: neg^/a
neglig^	# PEJVO例: neglig^/a rob/o
neni	# PEJVO例: neni/aj^/o
nepal	# PEJVO例: nepal/a lingv/o
neri	# PEJVO例: neri/o
neu^ralgi	# PEJVO例: neu^ralgi/o
neu^rasteni	# PEJVO例: neu^rasteni/o
neu^rokirurgi	# PEJVO例: neu^rokirurgi/o
neu^rologi	# PEJVO例: neu^rologi/o
neu^ropter	# PEJVO例: neu^ropter/oj
neu^roz	# PEJVO例: neu^roz/a
neu^ton	# PEJVO例: neu^ton/a mekanik/o
neu^tr	# PEJVO例: neu^tr/a
neu^tral	# PEJVO例: neu^tral/a
neu^trin	# PEJVO例: neu^trin/o
neu^tron	# PEJVO例: neu^tron/a bomb/o
nevropter	# PEJVO例: nevropter/oj
neĝ	# PEJVO例: neĝ/as
neŭr	# PEJVO例: neŭr/asteni/a
neŭron	# PEJVO例: neŭron/o
nic^	# PEJVO例: nic^/o
nig^er	# PEJVO例: nig^er/an/o
nig^eri	# PEJVO例: nig^eri/an/o
nikab	# PEJVO例: nikab/o
nikel-kadmi	# PEJVO例: nikel-kadmi/a bateri/o
nikol	# PEJVO例: nikol/o
niktereu^t	# PEJVO例: niktereu^t/o
nimbostratus	# PEJVO例: nimbostratus/o
nimfomani	# PEJVO例: nimfomani/o
nipon	# PEJVO例: nipon/an/o
nitrat	# PEJVO例: nitrat/a acid/o
nitrid	# PEJVO例: nitrid/o
nitrit	# PEJVO例: nitrit/o
nitriz	# PEJVO例: nitriz/i
nitrobenzin	# PEJVO例: nitrobenzin/o
nitroglicerin	# PEJVO例: nitroglicerin/o
nj	# PEJVO例: nj/o-knab/o
no	# PEJVO例: no
noc^	# PEJVO例: noc^/baston/o
nokau^t	# PEJVO例: nokau^t/i
nombro	# PEJVO例: nombro/teori/o
nomogenez	# PEJVO例: nomogenez/o
norman	# PEJVO例: norman/o
nukleol	# PEJVO例: nukleol/o
nuklid	# PEJVO例: nuklid/o
nuton	# PEJVO例: nuton/o
o-vort	# PEJVO例: o-vort/o
obez	# PEJVO例: obez/a tinus/o
obskurantism	# PEJVO例: obskurantism/o
oc^j	# PEJVO例: oc^j/o
oficin	# PEJVO例: oficin/a
ofsajd	# PEJVO例: ofsajd/o
oho!	# PEJVO例: oho!
oj!	# PEJVO例: oj!
ok mil	# PEJVO例: ok mil
oktan	# PEJVO例: oktan/a nombr/o
okzalat	# PEJVO例: okzalat/a acid/o
oleac	# PEJVO例: oleac/oj
oligarh^	# PEJVO例: oligarh^/o
oligarh^i	# PEJVO例: oligarh^i/o
oligark	# PEJVO例: oligark/o
oligarki	# PEJVO例: oligarki/o
olimpi	# PEJVO例: olimpi/aj lud/oj
omag^	# PEJVO例: omag^/e al
omega	# PEJVO例: omega
onc^j	# PEJVO例: onc^j/o
ondometr	# PEJVO例: ondometr/o
ontogeni	# PEJVO例: ontogeni/o
opci	# PEJVO例: opci/o
operac	# PEJVO例: operac/o
oposum	# PEJVO例: oposum/o
optimum	# PEJVO例: optimum/o
orang^	# PEJVO例: orang^/aj^/o
orang^eri	# PEJVO例: orang^eri/o
oranĝ	# PEJVO例: oranĝ/a
ordinaci	# PEJVO例: ordinaci/o
ordovic	# PEJVO例: ordovic/o
ordovici	# PEJVO例: ordovici/o
orfe	# PEJVO例: orfe/ism/o
orientalism	# PEJVO例: orientalism/o
orientalist	# PEJVO例: orientalist/o
orientolog	# PEJVO例: orientolog/o
orientologi	# PEJVO例: orientologi/o
orkidit	# PEJVO例: orkidit/o
orsted	# PEJVO例: orsted/o
ortogenez	# PEJVO例: ortogenez/o
os-temp	# PEJVO例: os-temp/o
oscilator	# PEJVO例: oscilator/o
osmant	# PEJVO例: osmant/o
osmozometr	# PEJVO例: osmozometr/o
ostag^	# PEJVO例: ostag^/i
ostologi	# PEJVO例: ostologi/o
ostrogot	# PEJVO例: ostrogot/oj
otari	# PEJVO例: otari/o
ovoid	# PEJVO例: ovoid/a
p.	# PEJVO例: p.
p.K.	# PEJVO例: p.K.
pa!	# PEJVO例: pa!
pac^j	# PEJVO例: pac^j/o
pac^ul	# PEJVO例: pac^ul/o
paf'	# PEJVO例: paf'
pag^	# PEJVO例: pag^/numer/ad/o
pag^i	# PEJVO例: pag^i/o
pagr	# PEJVO例: pagr/o
pajn	# PEJVO例: pajn/o/s^alm/o
pakistan	# PEJVO例: pakistan/an/o
paled	# PEJVO例: paled/o
paleolitik	# PEJVO例: paleolitik/o
paleozoik	# PEJVO例: paleozoik/a
palestin	# PEJVO例: palestin/a problem/o
palmiped	# PEJVO例: palmiped/oj
panic	# PEJVO例: panic/a past/bul/o
pankreat	# PEJVO例: pankreat/o
papiliac	# PEJVO例: papiliac/oj
papilom	# PEJVO例: papilom/o
papu	# PEJVO例: papu/o
paramagnet	# PEJVO例: paramagnet/a
paras^ut	# PEJVO例: paras^ut/a
parazitologi	# PEJVO例: parazitologi/o
parfe	# PEJVO例: parfe/o
pariet	# PEJVO例: pariet/o
pariz	# PEJVO例: pariz/a
parkinson	# PEJVO例: parkinson/a mal/san/o
paroh^	# PEJVO例: paroh^/o
paroĥ	# PEJVO例: paroĥ/a
partikl	# PEJVO例: partikl/o
pas^	# PEJVO例: pas^/ad/o
pas^a	# PEJVO例: pas^a/ej/o
pas^t	# PEJVO例: pas^t/ad/o
pas^tel	# PEJVO例: pas^tel/a kolor/o
pasag^er	# PEJVO例: pasag^er/a kajut/o
pask	# PEJVO例: pask/a
paskal	# PEJVO例: paskal/o
pastec^	# PEJVO例: pastec^/o
pasteu^riz	# PEJVO例: pasteu^riz/i
pastic^	# PEJVO例: pastic^/i
patat	# PEJVO例: patat/o
patrini	# PEJVO例: patrini/o
pau^perism	# PEJVO例: pau^perism/o
pau^s	# PEJVO例: pau^s/aj^/o
pau^t	# PEJVO例: pau^t/i
pau^z	# PEJVO例: pau^z/i
paĝ	# PEJVO例: paĝ/ig/i
paĥiderm	# PEJVO例: paĥiderm/oj
paŝ	# PEJVO例: paŝ/ad/i
paŝt	# PEJVO例: paŝt/ist/a
paŝtel	# PEJVO例: paŝtel/a
paŭs	# PEJVO例: paŭs/o
pc^k	# PEJVO例: pc^k
pec^	# PEJVO例: pec^/a
pedofili	# PEJVO例: pedofili/o
pedologi	# PEJVO例: pedologi/o
peged	# PEJVO例: peged/oj
pejzag^	# PEJVO例: pejzag^/ist/o
pejzaĝ	# PEJVO例: pejzaĝ/a
pekin	# PEJVO例: pekin/a brasik/o
pelasg	# PEJVO例: pelasg/o
pelmel	# PEJVO例: pelmel/e
penal	# PEJVO例: penal/are/o
pentatom	# PEJVO例: pentatom/o
pep'	# PEJVO例: pep'
per si mem	# PEJVO例: per si mem
per-	# PEJVO例: per-
perc^	# PEJVO例: perc^/o
peri	# PEJVO例: peri/skop/o
perikard	# PEJVO例: perikard/o
perkol	# PEJVO例: perkol/ad/o
permanganat	# PEJVO例: permanganat/o
permeanc	# PEJVO例: permeanc/o
permi	# PEJVO例: permi/o
permitiv	# PEJVO例: permitiv/o
peroksid	# PEJVO例: peroksid/o
perpendikular	# PEJVO例: perpendikular/a
persi	# PEJVO例: persi/kari/o
peru	# PEJVO例: peru/an/o
perversi	# PEJVO例: perversi/o
pesticid	# PEJVO例: pesticid/o
petazit	# PEJVO例: petazit/a s^os/o
pic	# PEJVO例: pic/ej/o
pic^	# PEJVO例: pic^/o
piez	# PEJVO例: piez/o
pig^in	# PEJVO例: pig^in/a
pij^am	# PEJVO例: pij^am/o
piknometr	# PEJVO例: piknometr/o
piko	# PEJVO例: piko/farad/o
piko-	# PEJVO例: piko-
piktogram	# PEJVO例: piktogram/o
pikup	# PEJVO例: pikup/o
pilc^ard	# PEJVO例: pilc^ard/o
pinc^	# PEJVO例: pinc^/aj^/o
pind	# PEJVO例: pind/o
pingvin	# PEJVO例: pingvin/o
pinĉ	# PEJVO例: pinĉ/ad/o
pioc^	# PEJVO例: pioc^/i
pioĉ	# PEJVO例: pioĉ/et/o
pirheliometr	# PEJVO例: pirheliometr/o
piroelektr	# PEJVO例: piroelektr/a
piromagnet	# PEJVO例: piromagnet/a
pis^t	# PEJVO例: pis^t/o
pk.	# PEJVO例: pk.
plac^	# PEJVO例: plac^/a
plag^	# PEJVO例: plag^/o
plas	# PEJVO例: plas/i
platano	# PEJVO例: platano
plateno	# PEJVO例: plateno
platikodon	# PEJVO例: platikodon/o
platon	# PEJVO例: platon/a
plau^	# PEJVO例: plau^
plau^d	# PEJVO例: plau^d/ad/o
plaŭd	# PEJVO例: plaŭd/a
pleistocen	# PEJVO例: pleistocen/o
plej baldau^	# PEJVO例: plej baldau^
plej last	# PEJVO例: plej last/e
plej mal	# PEJVO例: plej mal/fru/e
pleu^r	# PEJVO例: pleu^r/o
pleu^rit	# PEJVO例: pleu^rit/o
pleu^ronekt	# PEJVO例: pleu^ronekt/ed/oj
pleŭronekt	# PEJVO例: pleŭronekt/o/form/aj
pli da	# PEJVO例: pli da
pli kaj pli	# PEJVO例: pli kaj pli
pli mal	# PEJVO例: pli mal/pli fru/e
pli ol	# PEJVO例: pli ol
pli preciz	# PEJVO例: pli preciz/e
pli-	# PEJVO例: pli-
pli-mal	# PEJVO例: pli-mal/pli
pli-ol-unu	# PEJVO例: pli-ol-unu
plong^	# PEJVO例: plong^/bomb/i
plus^	# PEJVO例: plus^/o
pluton	# PEJVO例: pluton/a
pluŝ	# PEJVO例: pluŝ/a
pm	# PEJVO例: pm
pneu^	# PEJVO例: pneu^/o
pneu^mat	# PEJVO例: pneu^mat/a pump/il/o
pneu^matik	# PEJVO例: pneu^matik/a
pneu^mokok	# PEJVO例: pneu^mokok/o
pneu^moni	# PEJVO例: pneu^moni/o
po-	# PEJVO例: po-
poc^	# PEJVO例: poc^/i
podkast	# PEJVO例: podkast/o
pok	# PEJVO例: pok/a
polaroid	# PEJVO例: polaroid/o
polenoz	# PEJVO例: polenoz/o
polent	# PEJVO例: polent/o
polietilen	# PEJVO例: polietilen/o
poligini	# PEJVO例: poligini/o
polinezi	# PEJVO例: polinezi/an/o
polipoz	# PEJVO例: polipoz/o
politolog	# PEJVO例: politolog/o
pomologi	# PEJVO例: pomologi/o
pong^e	# PEJVO例: pong^e/o
popart	# PEJVO例: popart/o
popmuzik	# PEJVO例: popmuzik/o
populaci	# PEJVO例: populaci/o
por c^iam	# PEJVO例: por c^iam
por etern	# PEJVO例: por etern/e
por ke	# PEJVO例: por ke
porn	# PEJVO例: porn/o
pos^	# PEJVO例: pos^/a
pos^t	# PEJVO例: pos^t/a
post Krist	# PEJVO例: post Krist/o
post kiam	# PEJVO例: post kiam
post-	# PEJVO例: post-
posthum	# PEJVO例: posthum/a
postic^	# PEJVO例: postic^/o
postiĉ	# PEJVO例: postiĉ/a
postpozici	# PEJVO例: postpozici/o
potag^	# PEJVO例: potag^/o
pou^p	# PEJVO例: pou^p/o
poziton	# PEJVO例: poziton/o
poŝt	# PEJVO例: poŝt/i
pra-	# PEJVO例: pra-
preg^	# PEJVO例: preg^/ar/o
premier	# PEJVO例: premier/o
premolar	# PEJVO例: premolar/o
preskau^	# PEJVO例: preskau^
preskau^ ne	# PEJVO例: preskau^ ne
prestidigitator	# PEJVO例: prestidigitator/o
prestig^	# PEJVO例: prestig^/a
preter-	# PEJVO例: preter-
prez.	# PEJVO例: prez.
preĝ	# PEJVO例: preĝ/a
pri-	# PEJVO例: pri-
prion	# PEJVO例: prion/o
pro-	# PEJVO例: pro-
procesor	# PEJVO例: procesor/o
produktiv	# PEJVO例: produktiv/a
prof.	# PEJVO例: prof.
prohib	# PEJVO例: prohib/i
prolegomen	# PEJVO例: prolegomen/o
