表示語	解析語
duumviro	duumviro
easto	easto
ebonacoj	ebonacoj
ebulioskopo	ebulioskopo
ecidio	ecidio
ecio	ecio
ecisporo	ecisporo
edentatoj	edentatoj
edilo	edilo
efebo	efebo
efedrino	efedrino
efedro	efedro
efelido	efelido
efemeropteroj	efemeropteroj
efloreskaĵo	efloreskaĵo
efo	efo
efrito	efrito
egilopo	egilopo
egiptologio	egiptologio
ejakula	ejakula
ejakulo	ejakulo
ejektivo	ejektivo
ejgena	ejgena
ejgeno	ejgeno
ejnŝtejnio	ejnŝtejnio
ejŝhornio	ejŝhornio
ekbalio	ekbalio
ekdisono	ekdisono
ekinoidoj	ekinoidoj
ekinokoko	ekinokoko
ekinopso	ekinopso
ekinozooj	ekinozooj
eklektikisto	eklektikisto
eklipŝo	eklipŝo
ekonometriko	ekonometriko
ekranumi	ekranumi
eksceŝo	eksceŝo
ekscizi	ekscizi
eksklamacio	eksklamacio
ekspansiilo	ekspansiilo
ekspektori	ekspektori
ekspektoriga	ekspektoriga
eksplica	eksplica
eksplici	eksplici
ekspresionisto	ekspresionisto
ekspreŝo	ekspreŝo
ekstensanto	ekstensanto
ekstensi	ekstensi
ekstenso	ekstenso
ekstensoro	ekstensoro
eksterejo	eksterejo
ekstradoso	ekstradoso
eksvoto	eksvoto
ektazio	ektazio
ekto	ekto
ektodermo	ektodermo
ektomio	ektomio
ekvipotenciala	ekvipotenciala
ekvipotencialo	ekvipotencialo
ekvizetopsidoj	ekvizetopsidoj
ekvo	ekvo
ekzarko	ekzarko
ekzekutivo	ekzekutivo
ekzistismo	ekzistismo
ekzo	ekzo
ekzogamio	ekzogamio
ekzogena	ekzogena
ekzokrina	ekzokrina
ekzotera	ekzotera
elafro	elafro
elaidato	elaidato
elanio	elanio
elapedoj	elapedoj
elapo	elapo
elasmobrankoj	elasmobrankoj
elastino	elastino
elastomero	elastomero
elateredoj	elateredoj
elateriino	elateriino
elatino	elatino
eledono	eledono
elefantedoj	elefantedoj
elektrebla	elektrebla
elektroforezo	elektroforezo
elektrokuti	elektrokuti
elektrumo	elektrumo
elektuario	elektuario
eleo	eleo
eleokarito	eleokarito
eletario	eletario
elipŝo	elipŝo
elitrigio	elitrigio
elodeo	elodeo
elokucio	elokucio
eluantaĵo	eluantaĵo
eluanto	eluanto
elui	elui
eluitaĵo	eluitaĵo
eluviado	eluviado
eluvii	eluvii
eluvio	eluvio
emberizedoj	emberizedoj
embolozigo	embolozigo
embrifitoj	embrifitoj
embriofitoj	embriofitoj
embriotomio	embriotomio
embritomio	embritomio
embrokacio	embrokacio
emersio	emersio
emetino	emetino
emetropa	emetropa
emidedoj	emidedoj
emigi	emigi
emigracio	emigracio
emigrado	emigrado
emigri	emigri
eminenĉo	eminenĉo
emio	emio
emitoro	emitoro
empetro	empetro
empireo	empireo
emporio	emporio
emulsiantaĵo	emulsiantaĵo
emulsianto	emulsianto
emulsiazo	emulsiazo
emulsieblo	emulsieblo
emulsiilo	emulsiilo
emulsiino	emulsiino
emulsioido	emulsioido
enantiomorfa	enantiomorfa
enantiomorfeco	enantiomorfeco
enantiomorfismo	enantiomorfismo
enantiotropa	enantiotropa
enantiotropeco	enantiotropeco
enantiotropismo	enantiotropismo
enantiozo	enantiozo
encefalalgio	encefalalgio
encefalino	encefalino
encefalografio	encefalografio
endodermo	endodermo
endogena	endogena
endokrinologio	endokrinologio
endomorfio	endomorfio
endorfino	endorfino
endoskopio	endoskopio
endospermo	endospermo
endotelio	endotelio
engloj	engloj
enkaŭstiki	enkaŭstiki
enkaŭstiko	enkaŭstiko
enklizaĵo	enklizaĵo
enklizo	enklizo
enologo	enologo
enoteracoj	enoteracoj
ensiferoj	ensiferoj
entelekio	entelekio
entelo	entelo
enteralgio	enteralgio
entero	entero
enterokinazo	enterokinazo
enteropneŭstoj	enteropneŭstoj
entolomo	entolomo
entomoloĝo	entomoloĝo
entomostrakoj	entomostrakoj
enumeracio	enumeracio
enzimologio	enzimologio
eola	eola
eono	eono
eonotemo	eonotemo
eosto	eosto
epakrido	epakrido
epanortozo	epanortozo
epeirogenezo	epeirogenezo
epentezo	epentezo
eperlano	eperlano
epicentro	epicentro
epidendro	epidendro
epididimo	epididimo
epifenomeno	epifenomeno
epifito	epifito
epifizito	epifizito
epifonemo	epifonemo
epigeneza	epigeneza
epigenezo	epigenezo
epika	epika
epikanto	epikanto
epiko	epiko
epikondilo	epikondilo
epiloĝo	epiloĝo
epimorfio	epimorfio
epinefrino	epinefrino
epipaktido	epipaktido
epipaleolitiko	epipaleolitiko
epiploo	epiploo
epirogeneza	epirogeneza
epirogenezo	epirogenezo
episomo	episomo
epispastika	epispastika
epistakso	epistakso
epistata	epistata
epistemologio	epistemologio
epitaksio	epitaksio
epitalamo	epitalamo
epiteliomo	epiteliomo
epodo	epodo
epoksio	epoksio
epsilono	epsilono
epuliso	epuliso
erareco	erareco
eratika	eratika
eratumo	eratumo
erepsino	erepsino
eretio	eretio
eretismo	eretismo
ergativo	ergativo
ergonomio	ergonomio
ergosterolo	ergosterolo
ergotozo	ergotozo
erigerono	erigerono
erikacoj	erikacoj
erinjo	erinjo
eritemo	eritemo
eritreno	eritreno
eritroblasto	eritroblasto
eritroksilo	eritroksilo
eritronio	eritronio
eritropoezino	eritropoezino
eritropoezo	eritropoezo
eritrozo	eritrozo
erizifaloj	erizifaloj
erizifo	erizifo
erodio	erodio
erofilo	erofilo
erota	erota
erotismo	erotismo
erotizi	erotizi
eroto	eroto
erotogena	erotogena
erotologio	erotologio
erudi	erudi
esameni	esameni
esameno	esameno
esceto	esceto
eskalopo	eskalopo
eskapismo	eskapismo
eskaro	eskaro
eskatologio	eskatologio
eskimumi	eskimumi
eskulino	eskulino
eskulo	eskulo
eskvizita	eskvizita
esplanado	esplanado
espozi	espozi
espresaparato	espresaparato
espresilo	espresilo
espresmaŝino	espresmaŝino
espreso	espreso
espresomaŝino	espresomaŝino
esteco	esteco
esterazo	esterazo
estezo	estezo
estezometro	estezometro
estiel	estiel
estivacio	estivacio
estradiolo	estradiolo
etalono	etalono
etanalo	etanalo
etano	etano
etanolato	etanolato
eteno	eteno
etilismo	etilismo
etimoloĝo	etimoloĝo
etino	etino
etiola	etiola
etioloĝo	etioloĝo
etlingero	etlingero
etoksi	etoksi
etoksio	etoksio
etoŝo	etoŝo
etrioskopo	etrioskopo
etuvi	etuvi
etuvo	etuvo
etuzo	etuzo
evangelizi	evangelizi
evaporito	evaporito
evipano	evipano
evoluto	evoluto
evolvento	evolvento
evolŭi	evolŭi
ezofagoskopio	ezofagoskopio
ezofagoskopo	ezofagoskopo
ezofaĝo	ezofaĝo
ezokedoj	ezokedoj
eĥolalio	eĥolalio
eŝolzio	eŝolzio
eŭ	eŭ
eŭdajmonismo	eŭdajmonismo
eŭfaŭzio	eŭfaŭzio
eŭfaŭziuloj	eŭfaŭziuloj
eŭfonio	eŭfonio
eŭgenio	eŭgenio
eŭgleno	eŭgleno
eŭkariota	eŭkariota
eŭkarioto	eŭkarioto
eŭkariotoj	eŭkariotoj
eŭklida	eŭklida
eŭmetropa	eŭmetropa
eŭmetropeco	eŭmetropeco
eŭpepsio	eŭpepsio
eŭpneo	eŭpneo
eŭripterigio	eŭripterigio
eŭritmo	eŭritmo
eŭtekto	eŭtekto
fa	fa
facia	facia
facio	facio
faduo	faduo
fagacoj	fagacoj
faktiso	faktiso
faktoto	faktoto
fakultativa	fakultativa
fakulto	fakulto
falangeredoj	falangeredoj
falanstero	falanstero
falanĝo	falanĝo
falarido	falarido
falenopso	falenopso
falkedoj	falkedoj
faloida	faloida
falunejo	falunejo
faluni	faluni
faluno	faluno
falusa	falusa
faluseca	faluseca
faluso	faluso
falva	falva
falĉatoro	falĉatoro
fanarioto	fanarioto
fanero	fanero
fanerozoiko	fanerozoiko
fango	fango
fanono	fanono
fantasio	fantasio
fantasmo	fantasmo
fantasta	fantasta
fantasto	fantasto
faringoskopio	faringoskopio
farnezolo	farnezolo
farniento	farniento
farŝo	farŝo
fasmuloj	fasmuloj
fazanedoj	fazanedoj
fazeoluso	fazeoluso
faĉo	faĉo
faĝero	faĝero
faĝo	faĝo
faŭcio	faŭcio
faŭltlipo	faŭltlipo
faŭlto	faŭlto
faŭltspegulo	faŭltspegulo
faŭvismo	faŭvismo
feako	feako
federalismo	federalismo
feldmarŝalo	feldmarŝalo
feldspatoido	feldspatoido
feltizi	feltizi
femina	femina
femino	femino
femto	femto
fenantreno	fenantreno
fenciklidino	fenciklidino
fenestrumo	fenestrumo
fenetolo	fenetolo
fenikacoj	fenikacoj
feniko	feniko
fenikŝo	fenikŝo
fenileno	fenileno
fenilo	fenilo
fenolato	fenolato
fenotiazino	fenotiazino
feofitino	feofitino
feofitoj	feofitoj
fericiano	fericiano
ferociano	ferociano
feruta	feruta
ferutado	ferutado
feruti	feruti
festeco	festeco
fibrilacio	fibrilacio
fibrinogeno	fibrinogeno
fibroino	fibroino
fikomicetoj	fikomicetoj
fiktivo	fiktivo
fikuso	fikuso
fikŝi	fikŝi
filariozo	filariozo
fileo	fileo
filikopsidoj	filikopsidoj
filito	filito
filodendro	filodendro
filodio	filodio
filogenezo	filogenezo
filoloĝo	filoloĝo
filopodoj	filopodoj
filosemitismo	filosemitismo
filosemito	filosemito
filostomedoj	filostomedoj
filostomo	filostomo
filtrumo	filtrumo
fimozo	fimozo
fin	fin
finanĉo	finanĉo
fineso	fineso
finia	finia
finizi	finizi
finiŝi	finiŝi
finiŝo	finiŝo
fiolo	fiolo
firno	firno
fistulino	fistulino
fitino	fitino
fitiso	fitiso
fito	fito
fitoftoro	fitoftoro
fitokromo	fitokromo
fitolako	fitolako
fitolo	fitolo
fizalio	fizalio
fiziognomiko	fiziognomiko
fizioloĝo	fizioloĝo
flagelanto	flagelanto
flamengo	flamengo
flamerio	flamerio
flamino	flamino
flamumita	flamumita
flankumita	flankumita
flasko	flasko
flavino	flavino
flavono	flavono
flebotomio	flebotomio
flebotomo	flebotomo
fleksoro	fleksoro
fleo	fleo
flikumi	flikumi
fliŝo	fliŝo
flogistono	flogistono
floroglucinolo	floroglucinolo
flugipova	flugipova
fluoresceino	fluoresceino
fokedoj	fokedoj
fokusdiseco	fokusdiseco
folianto	folianto
foliklito	foliklito
folikulino	folikulino
folioto	folioto
folulo	folulo
fonduo	fonduo
fonetisto	fonetisto
fonio	fonio
fonoforo	fonoforo
fonolito	fonolito
fonometrio	fonometrio
foradendro	foradendro
foraminiferoj	foraminiferoj
formiato	formiato
formiilo	formiilo
formio	formio
foruo	foruo
fosfatemio	fosfatemio
fosfatido	fosfatido
fosfeno	fosfeno
fosfido	fosfido
fosfino	fosfino
fosfonio	fosfonio
fosfoo	fosfoo
fosforilado	fosforilado
fosforili	fosforili
fosforilo	fosforilo
fosgeno	fosgeno
fotogrametrio	fotogrametrio
foveeto	foveeto
foveo	foveo
fragario	fragario
fraksinelo	fraksinelo
frakta	frakta
frakto	frakto
frameo	frameo
franciskanismo	franciskanismo
frandzi	frandzi
franĉi	franĉi
franĉizo	franĉizo
franĝipano	franĝipano
frazeologiaĵo	frazeologiaĵo
frazeologio	frazeologio
frazumi	frazumi
frenulo	frenulo
fri	fri
fridigado	fridigado
fridigilo	fridigilo
fridunuo	fridunuo
friga	friga
friganedoj	friganedoj
frigano	frigano
frigida	frigida
frigideco	frigideco
frigo	frigo
frigorio	frigorio
frikando	frikando
fringedoj	fringedoj
friska	friska
friŝo	friŝo
frogalo	frogalo
frogo	frogo
froko	froko
frokulo	frokulo
frontala	frontala
fruktologio	fruktologio
fruktozo	fruktozo
frustracio	frustracio
ftalato	ftalato
ftaleino	ftaleino
ftalilo	ftalilo
ftalo	ftalo
ftiro	ftiro
fuelo	fuelo
fukoficoj	fukoficoj
fulereno	fulereno
fulgoro	fulgoro
fulgoromorfoj	fulgoromorfoj
fulminado	fulminado
fumarato	fumarato
fumarolo	fumarolo
fumigacio	fumigacio
fumizi	fumizi
fumumi	fumumi
fumumo	fumumo
fungicido	fungicido
fungologio	fungologio
fungozo	fungozo
fungusa	fungusa
fungusaĵo	fungusaĵo
funikularo	funikularo
funkciala	funkciala
funkcionalo	funkcionalo
funko	funko
furalo	furalo
furano	furano
furgono	furgono
furnituro	furnituro
furunkozo	furunkozo
futurologio	futurologio
fuzelo	fuzelo
fuzulinedoj	fuzulinedoj
fuŝ	fuŝ
gabro	gabro
gadedoj	gadedoj
gadmeso	gadmeso
gadoformaj	gadoformaj
gageo	gageo
galaktozo	galaktozo
galalito	galalito
galango	galango
galbi	galbi
galbo	galbo
galbuledoj	galbuledoj
galeaso	galeaso
galeco	galeco
galega	galega
galeo	galeo
galgo	galgo
galikana	galikana
galikanismo	galikanismo
galino	galino
galinoformaj	galinoformaj
galioto	galioto
galuso	galuso
galvanizado	galvanizado
gamaro	gamaro
gametofito	gametofito
gamopetaloj	gamopetaloj
gangliito	gangliito
gangujo	gangujo
gantro	gantro
garcinio	garcinio
gareno	gareno
garigo	garigo
gario	gario
gasogeno	gasogeno
gasojlo	gasojlo
gasteromicetoj	gasteromicetoj
gastralgio	gastralgio
gastrektomio	gastrektomio
gastrino	gastrino
gastrofilo	gastrofilo
gastroknemio	gastroknemio
gasumi	gasumi
gatjo	gatjo
gaviformaj	gaviformaj
gavioformaj	gavioformaj
gazalo	gazalo
gaĝo	gaĝo
geastro	geastro
gefireoj	gefireoj
gelo	gelo
gemuta	gemuta
genealoĝo	genealoĝo
geocentra	geocentra
geodinamiko	geodinamiko
geofagio	geofagio
geoido	geoido
geokemio	geokemio
geokronologio	geokronologio
geoloĝo	geoloĝo
geomancio	geomancio
geomorfologio	geomorfologio
geopolitiko	geopolitiko
georgiko	georgiko
geosfero	geosfero
geosinklinalo	geosinklinalo
geotekniko	geotekniko
geoterma	geoterma
geotermiko	geotermiko
geotermismo	geotermismo
geotermo	geotermo
geotropismo	geotropismo
geotrupedoj	geotrupedoj
geranialo	geranialo
geraniolo	geraniolo
geraĵo	geraĵo
geri	geri
geriatrio	geriatrio
geriatro	geriatro
geriso	geriso
germaniato	germaniato
germanisto	germanisto
gero	gero
gesnerio	gesnerio
ghetto	ghetto
giardio	giardio
giardiozo	giardiozo
giberelino	giberelino
gigo	gigo
gimnastikilo	gimnastikilo
gimnotedoj	gimnotedoj
ginsengo	ginsengo
gipo	gipo
gipsofilo	gipsofilo
gipuro	gipuro
gireca	gireca
giromitrino	giromitrino
gisisto	gisisto
glaciologio	glaciologio
glagolico	glagolico
glatiso	glatiso
glaŭka	glaŭka
glebo	glebo
glediĉio	glediĉio
glicero	glicero
gliko	gliko
glikogeno	glikogeno
glikogenogenezo	glikogenogenezo
glikogenolizo	glikogenolizo
glikokaliko	glikokaliko
glio	glio
glioksalo	glioksalo
gliredoj	gliredoj
gliŝi	gliŝi
globino	globino
globoskopo	globoskopo
globulestiĝo	globulestiĝo
glomerulo	glomerulo
gloriozo	gloriozo
glosektomio	glosektomio
glosolalio	glosolalio
glucido	glucido
glucinio	glucinio
gluizi	gluizi
glukagono	glukagono
gluko	gluko
glukolizo	glukolizo
glukozemio	glukozemio
glukozido	glukozido
glukozurio	glukozurio
glukurio	glukurio
glumelo	glumelo
gluono	gluono
glutaro	glutaro
glutationo	glutationo
glutenino	glutenino
gnafalio	gnafalio
gnetopsidoj	gnetopsidoj
gnidio	gnidio
gnozo	gnozo
gobelino	gobelino
gobiusedoj	gobiusedoj
gobiusoidoj	gobiusoidoj
goetito	goetito
gofero	gofero
gofri	gofri
gofrilo	gofrilo
gojo	gojo
goliardi	goliardi
goliardo	goliardo
golĝaparato	golĝaparato
golĝokorpo	golĝokorpo
gombo	gombo
gomenolarbo	gomenolarbo
gomenolo	gomenolo
gongorismo	gongorismo
gonidio	gonidio
goniometra	goniometra
goniometri	goniometri
goniometrio	goniometrio
goniometro	goniometro
gonokokemio	gonokokemio
gonokokozo	gonokokozo
gordiuloj	gordiuloj
gosipio	gosipio
gospelo	gospelo
grabeno	grabeno
gradacio	gradacio
gradualo	gradualo
grajnovora	grajnovora
gramino	gramino
grand	grand
granitoido	granitoido
granulocito	granulocito
granulomo	granulomo
granulomozo	granulomozo
graptolitoj	graptolitoj
grasumi	grasumi
grasumo	grasumo
gratiolo	gratiolo
gravetio	gravetio
gravimetrio	gravimetrio
graviolarbo	graviolarbo
graviolbero	graviolbero
graviolo	graviolo
graviolujo	graviolujo
gravitometrio	gravitometrio
gravitono	gravitono
graŭli	graŭli
graŭvako	graŭvako
gregarinoj	gregarinoj
grejhundo	grejhundo
greĝo	greĝo
griledoj	griledoj
grindelio	grindelio
grioto	grioto
grivo	grivo
grizuo	grizuo
grondi	grondi
gropo	gropo
grosulariacoj	grosulariacoj
grosulario	grosulario
groĝo	groĝo
grumela	grumela
grumelo	grumelo
grumiŝambero	grumiŝambero
grumiŝamo	grumiŝamo
grumiŝamujo	grumiŝamujo
grundologio	grundologio
guanino	guanino
guglego	guglego
guglo	guglo
gujdako	gujdako
gumozo	gumozo
guno	guno
guruo	guruo
gustosena	gustosena
gutao	gutao
gutiferoj	gutiferoj
gutujo	gutujo
guĝarato	guĝarato
guĝi	guĝi
guĝo	guĝo
gvanako	gvanako
gvarano	gvarano
gvemulo	gvemulo
gverilo	gverilo
hadeano	hadeano
hagiso	hagiso
hajduko	hajduko
halanĝo	halanĝo
haliaeto	haliaeto
halito	halito
halofito	halofito
haloido	haloido
halucinozo	halucinozo
halvao	halvao
hamadriado	hamadriado
hamiltoniano	hamiltoniano
hanapo	hanapo
handspeko	handspeko
hansa	hansa
hansano	hansano
haomo	haomo
haoro	haoro
hapakso	hapakso
hapaledoj	hapaledoj
haplografio	haplografio
haploida	haploida
hariso	hariso
harmonizi	harmonizi
harneso	harneso
harpagofito	harpagofito
haruspekso	haruspekso
haspelaĵo	haspelaĵo
haspeli	haspeli
haspelo	haspelo
hati	hati
hav	hav
haĉeko	haĉeko
haŝio	haŝio
haŭsero	haŭsero
haŭsiero	haŭsiero
haŭso	haŭso
haŭstorio	haŭstorio
hebefrenio	hebefrenio
hebeta	hebeta
hebeteco	hebeteco
hebreisto	hebreisto
hedizaro	hedizaro
hedonismo	hedonismo
hedonisto	hedonisto
heks	heks
heksa	heksa
heksano	heksano
hektika	hektika
helicoido	helicoido
helikonio	helikonio
helio	helio
heliocentra	heliocentra
heliografio	heliografio
heliogravuro	heliogravuro
helioskopo	helioskopo
helioterapio	helioterapio
heliĉo	heliĉo
helmintologio	helmintologio
helmintozo	helmintozo
helmo	helmo
helodeo	helodeo
hemanto	hemanto
hematemezo	hematemezo
hematino	hematino
hematio	hematio
hemato	hemato
hematoksilino	hematoksilino
hematoksilo	hematoksilo
hematozo	hematozo
hematozooj	hematozooj
hemi	hemi
hemianopsio	hemianopsio
hemicelulozo	hemicelulozo
hemimorfito	hemimorfito
hemiĥordo	hemiĥordo
hemiĥorduloj	hemiĥorduloj
hemo	hemo
hemolizo	hemolizo
hemoo	hemoo
hemoptizo	hemoptizo
hemostaza	hemostaza
hemostazo	hemostazo
hendiado	hendiado
henikoz	henikoz
heparino	heparino
hept	hept
hepta	hepta
heptagono	heptagono
heptano	heptano
herbicido	herbicido
herbovora	herbovora
hercinia	hercinia
herdo	herdo
hermeneŭtiko	hermeneŭtiko
hermita	hermita
herniario	herniario
heroido	heroido
herpesto	herpesto
herso	herso
hesperido	hesperido
hesperornito	hesperornito
hesperornitoformaj	hesperornitoformaj
hetero	hetero
heterogameta	heterogameta
heteronomio	heteronomio
heteropteroj	heteropteroj
heterosomo	heterosomo
heterotrofa	heterotrofa
heterozido	heterozido
heterozigoto	heterozigoto
heveo	heveo
heŭristiko	heŭristiko
hibaĉo	hibaĉo
hidalgo	hidalgo
hidatido	hidatido
hidatidozo	hidatidozo
hidno	hidno
hidranto	hidranto
hidrastido	hidrastido
hidrasto	hidrasto
hidrati	hidrati
hidratiĝi	hidratiĝi
hidrazino	hidrazino
hidrazono	hidrazono
hidridi	hidridi
hidrido	hidrido
hidrofila	hidrofila
hidrofoba	hidrofoba
hidrofono	hidrofono
hidrografio	hidrografio
hidroidoj	hidroidoj
hidrokarbonido	hidrokarbonido
hidrokarido	hidrokarido
hidrokarito	hidrokarito
hidrokero	hidrokero
hidrokotilo	hidrokotilo
hidroksilo	hidroksilo
hidroksio	hidroksio
hidrologio	hidrologio
hidronio	hidronio
hidroreo	hidroreo
hidroĥero	hidroĥero
hidruloj	hidruloj
hieroduleco	hieroduleco
hierodulo	hierodulo
hierofanto	hierofanto
hierogamio	hierogamio
hifo	hifo
hifolomo	hifolomo
higrocibo	higrocibo
higroforo	higroforo
higrografo	higrografo
higrometria	higrometria
higrometrio	higrometrio
hihi	hihi
hihii	hihii
hiki	hiki
hiksoso	hiksoso
hiledoj	hiledoj
hilozoismo	hilozoismo
himantopo	himantopo
himatio	himatio
himeneo	himeneo
himenomicetoj	himenomicetoj
hino	hino
hiogloso	hiogloso
hioido	hioido
hiosciamo	hiosciamo
hipalago	hipalago
hipeastro	hipeastro
hiper	hiper
hiperestezio	hiperestezio
hipergonaro	hipergonaro
hiperono	hiperono
hiphopo	hiphopo
hipio	hipio
hipno	hipno
hipnotizi	hipnotizi
hipnozo	hipnozo
hipo	hipo
hipofagio	hipofagio
hipofeo	hipofeo
hipofizo	hipofizo
hipogeo	hipogeo
hipogina	hipogina
hipokastanacoj	hipokastanacoj
hipokaŭsto	hipokaŭsto
hipokondro	hipokondro
hipokritado	hipokritado
hipolao	hipolao
hipospadio	hipospadio
hipostazo	hipostazo
hipotalamo	hipotalamo
hipotalo	hipotalo
hipotenaro	hipotenaro
hipsogramo	hipsogramo
hipsokroma	hipsokroma
hipuro	hipuro
hirtismo	hirtismo
hirudino	hirudino
hirundedoj	hirundedoj
hiskiamino	hiskiamino
histidino	histidino
histologio	histologio
histono	histono
historiografio	historiografio
hitita	hitita
hobalo	hobalo
hoboĵo	hoboĵo
hodometro	hodometro
hojo	hojo
holandezo	holandezo
holko	holko
holmo	holmo
holocefaloj	holocefaloj
holoedreco	holoedreco
holoedro	holoedro
holomorfa	holomorfa
holomorfio	holomorfio
holosteo	holosteo
holosteoj	holosteoj
holosto	holosto
holoturioidoj	holoturioidoj
homedoj	homedoj
homenoj	homenoj
homeomorfa	homeomorfa
homeomorfia	homeomorfia
homeomorfio	homeomorfio
homeomorfo	homeomorfo
homeostatilo	homeostatilo
homeostato	homeostato
homeota	homeota
homeoteleŭto	homeoteleŭto
homeoterma	homeoterma
homilio	homilio
homizi	homizi
homofono	homofono
homokromio	homokromio
homologio	homologio
homomorfa	homomorfa
homomorfia	homomorfia
homomorfio	homomorfio
homomorfo	homomorfo
homopteroj	homopteroj
homoseksuala	homoseksuala
homoteta	homoteta
homotetia	homotetia
homotetio	homotetio
homoteto	homoteto
homotopa	homotopa
homotopia	homotopia
homotopio	homotopio
homotopo	homotopo
homunkulo	homunkulo
hopadi	hopadi
hoplito	hoplito
horsisto	horsisto
horso	horso
horsto	horsto
horsulo	horsulo
horto	horto
hoso	hoso
hospico	hospico
hotentoto	hotentoto
hui	hui
hulmano	hulmano
humino	humino
humiĝo	humiĝo
humoresko	humoresko
humulo	humulo
huro	huro
hurono	hurono
husano	husano
huŝi	huŝi
iai	iai
iberiso	iberiso
idempotenta	idempotenta
idiopatio	idiopatio
idli	idli
idlilo	idlilo
iduso	iduso
ifrito	ifrito
iglo	iglo
ignimbrito	ignimbrito
igvanedoj	igvanedoj
ikonografia	ikonografia
ikonografio	ikonografio
ikonologio	ikonologio
ikonoskopo	ikonoskopo
ikonostazo	ikonostazo
ikoro	ikoro
ikosaedro	ikosaedro
ikoz	ikoz
iksio	iksio
iksoro	iksoro
iktiofagio	iktiofagio
iktiologio	iktiologio
iktiologo	iktiologo
iktiopterigoj	iktiopterigoj
iktiozo	iktiozo
ikto	ikto
ikŝo	ikŝo
ileito	ileito
ilekŝo	ilekŝo
iliaka	iliaka
iliako	iliako
ilio	ilio
ilmenito	ilmenito
iluminacio	iluminacio
imamujo	imamujo
imbecileco	imbecileco
imbecilo	imbecilo
imbriki	imbriki
imersio	imersio
imidazolo	imidazolo
imido	imido
imino	imino
impatiento	impatiento
imperatoreco	imperatoreco
imperatoro	imperatoro
imperfektivo	imperfektivo
impetigino	impetigino
impetigizado	impetigizado
impoŝtaro	impoŝtaro
impoŝto	impoŝto
imprimaturo	imprimaturo
impulŝo	impulŝo
imunologio	imunologio
inanicio	inanicio
incenŝo	incenŝo
incizado	incizado
incizaĵo	incizaĵo
incizi	incizi
incizo	incizo
incizuro	incizuro
indekŝo	indekŝo
indeno	indeno
indiferentismo	indiferentismo
indigoida	indigoida
indigozidazo	indigozidazo
indigozido	indigozido
indiumo	indiumo
individŭo	individŭo
indiĝo	indiĝo
indolo	indolo
indrio	indrio
indukcio	indukcio
induktoro	induktoro
indulto	indulto
induzio	induzio
inerciuma	inerciuma
infamio	infamio
infanto	infanto
infarktogena	infarktogena
inferenci	inferenci
inferenco	inferenco
infimo	infimo
infra	infra
infruktesko	infruktesko
infundiblo	infundiblo
ingiĝi	ingiĝi
ingoto	ingoto
ingredienĉo	ingredienĉo
inicialo	inicialo
injektivo	injektivo
inklinacio	inklinacio
inkubacio	inkubacio
inkubatoro	inkubatoro
inkunablo	inkunablo
inocibo	inocibo
insilado	insilado
insilaĵo	insilaĵo
insili	insili
insilujo	insilujo
insinui	insinui
insinuo	insinuo
insolenta	insolenta
instanĉo	instanĉo
instruktoro	instruktoro
instrumentalo	instrumentalo
insuficienco	insuficienco
integrato	integrato
integrebla	integrebla
integrismo	integrismo
integristo	integristo
inteligencio	inteligencio
intenŝa	intenŝa
interfazo	interfazo
interferometrio	interferometrio
interfono	interfono
interioro	interioro
interkomo	interkomo
interleŭkino	interleŭkino
interstica	interstica
interstico	interstico
intertrigo	intertrigo
interuptoro	interuptoro
intervjŭo	intervjŭo
intimismo	intimismo
intra	intra
intradoso	intradoso
intumeska	intumeska
invencio	invencio
invertazo	invertazo
involucio	involucio
inĝenierio	inĝenierio
iona	iona
ionika	ionika
iono	iono
ipeko	ipeko
ipo	ipo
ipomeo	ipomeo
iredentisto	iredentisto
irigatoro	irigatoro
irisektomio	irisektomio
irisito	irisito
irisotomio	irisotomio
iriŝo	iriŝo
irko	irko
isato	isato
iskemio	iskemio
iskiatalgio	iskiatalgio
iskiato	iskiato
ismailano	ismailano
isolepo	isolepo
iteracii	iteracii
iteracio	iteracio
itol	itol
izatiso	izatiso
izo	izo
izobato	izobato
izoelektra	izoelektra
izogloso	izogloso
izogono	izogono
izohipso	izohipso
izoklino	izoklino
izolepido	izolepido
izometra	izometra
izometria	izometria
izometrio	izometrio
izometro	izometro
izomorfia	izomorfia
izomorfio	izomorfio
izopodoj	izopodoj
izopreno	izopreno
izoprenoido	izoprenoido
izopteroj	izopteroj
izospino	izospino
izostazo	izostazo
izotona	izotona
izotoneco	izotoneco
iĥtiofagio	iĥtiofagio
iĥtiologo	iĥtiologo
iĥtiopterigoj	iĥtiopterigoj
jabiruo	jabiruo
jaborando	jaborando
jadeitito	jadeitito
jadeito	jadeito
jakvo	jakvo
jakvujo	jakvujo
jalaprezino	jalaprezino
jambino	jambino
jamboso	jamboso
jango	jango
jansenismo	jansenismo
jansenisto	jansenisto
jatagano	jatagano
jaziono	jaziono
jaŝiro	jaŝiro
jekcio	jekcio
jeremiado	jeremiado
jesaulo	jesaulo
jino	jino
jodometrio	jodometrio
jodozo	jodozo
johimbino	johimbino
johimbo	johimbo
jokto	jokto
jonio	jonio
jonosfero	jonosfero
jotismo	jotismo
joviala	joviala
judaizi	judaizi
judaro	judaro
juladi	juladi
julepo	julepo
jurto	jurto
kaciko	kaciko
kacingo	kacingo
kacujo	kacujo
kacumi	kacumi
kacuro	kacuro
kadaifo	kadaifo
